               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11162,            0.031232,            0.025228,           0.0016727,                 0.5,            0.001594,          0.00044047,            0.037031,             0.02142,           0.0087341,              0.0973,              0.0003,              0.0003
                   1,             0.11822,            0.029623,            0.025161,           0.0025069,                0.75,            0.004742,           0.0015368,            0.033077,            0.020042,           0.0084595,            0.093677,           0.0006769,           0.0006769
                   2,             0.10566,            0.032265,            0.023773,           0.0029062,               0.875,           0.0068411,           0.0030462,            0.026724,            0.018738,           0.0080872,            0.090027,           0.0010274,           0.0010274
                   3,            0.089882,            0.031656,            0.022304,           0.0033334,                   1,            0.014857,           0.0073001,            0.022897,            0.017465,           0.0077454,            0.086351,           0.0013515,           0.0013515
                   4,            0.088917,             0.03301,            0.021246,           0.0033347,                   1,            0.027361,            0.011998,            0.020367,            0.016521,           0.0074158,            0.082649,           0.0016492,           0.0016492
                   5,            0.079907,            0.033546,            0.020066,           0.0033376,                   1,            0.069151,            0.031793,            0.019178,            0.015452,           0.0070129,            0.078921,           0.0019205,           0.0019205
                   6,            0.081696,            0.032406,            0.018038,           0.0033431,                   1,             0.23403,            0.097465,             0.01954,            0.014073,           0.0064514,            0.075165,           0.0021654,           0.0021654
                   7,             0.07529,            0.031888,            0.014774,            0.054533,                   1,             0.68455,              0.3083,            0.018976,            0.013165,           0.0058228,            0.071384,           0.0023839,           0.0023839
                   8,            0.074342,            0.029208,            0.017658,             0.57946,               0.625,             0.69588,             0.34391,            0.018094,            0.012161,           0.0052063,            0.067576,            0.002576,            0.002576
                   9,            0.063452,            0.030604,            0.013941,             0.84582,               0.625,             0.73826,             0.37973,            0.017768,            0.011475,           0.0045776,            0.063742,           0.0027417,           0.0027417
                  10,            0.057659,            0.026744,            0.011439,              0.4908,               0.625,             0.69666,             0.37753,            0.019266,            0.010837,           0.0039948,            0.059881,            0.002881,            0.002881
                  11,            0.065428,            0.025187,            0.010495,             0.54079,             0.69469,              0.8075,             0.42659,            0.018297,            0.010408,           0.0032837,            0.055994,           0.0029939,           0.0029939
                  12,            0.065519,            0.022214,           0.0099739,             0.64194,             0.96496,                0.87,             0.52888,            0.015537,            0.010175,           0.0026917,             0.05208,           0.0030804,           0.0030804
                  13,            0.063836,            0.024166,           0.0092597,             0.69218,               0.625,                0.67,             0.35026,            0.022472,            0.010048,           0.0024612,            0.048141,           0.0031405,           0.0031405
                  14,            0.060939,            0.022275,           0.0077585,             0.48923,             0.91012,             0.74351,             0.41939,            0.017721,           0.0095975,           0.0021561,            0.044174,           0.0031742,           0.0031742
                  15,            0.065377,            0.021628,           0.0089934,             0.51433,             0.74854,             0.71226,             0.41701,            0.015916,           0.0089931,           0.0019928,            0.040182,           0.0031815,           0.0031815
                  16,            0.057083,            0.022061,           0.0070192,             0.37528,             0.87834,             0.67357,             0.45994,             0.01901,           0.0083878,           0.0019302,            0.036162,           0.0031624,           0.0031624
                  17,            0.063759,            0.020378,           0.0078425,             0.43623,                   1,             0.79619,             0.45937,            0.019071,           0.0078478,           0.0017075,            0.032117,           0.0031169,           0.0031169
                  18,            0.063597,             0.02134,           0.0083756,             0.46693,                   1,              0.7825,             0.49798,            0.016721,           0.0073118,           0.0016769,            0.028045,            0.003045,            0.003045
                  19,            0.053138,            0.018847,           0.0053133,              0.6056,               0.625,              0.6733,             0.33559,            0.019258,           0.0073528,           0.0015442,            0.023947,           0.0029467,           0.0029467
                  20,            0.050803,            0.020754,           0.0051509,             0.58388,                   1,               0.845,             0.43148,            0.015798,           0.0068877,            0.001387,            0.019822,            0.002822,            0.002822
                  21,            0.060741,              0.0188,           0.0049175,             0.61986,               0.875,             0.79273,              0.5177,            0.013757,           0.0066786,           0.0013565,            0.015671,           0.0026709,           0.0026709
                  22,            0.049562,            0.017551,           0.0046954,             0.53751,             0.98325,             0.70889,             0.36751,            0.016773,            0.006659,           0.0012482,            0.011493,           0.0024934,           0.0024934
                  23,            0.051678,            0.019449,           0.0041565,             0.60981,             0.87136,             0.80056,             0.49272,            0.015832,           0.0063019,           0.0012009,           0.0072895,           0.0022895,           0.0022895
                  24,             0.05469,            0.019653,            0.004353,             0.63514,               0.875,             0.79778,             0.52675,            0.013954,           0.0064502,           0.0011459,           0.0030592,           0.0020592,           0.0020592
                  25,            0.047243,            0.020666,           0.0039312,             0.60744,               0.875,             0.84083,              0.5239,            0.014433,           0.0061829,           0.0011131,             0.00175,             0.00175,             0.00175
                  26,            0.049303,            0.017916,           0.0037173,             0.55745,               0.875,              0.8325,             0.54498,            0.013886,            0.006186,           0.0010559,             0.00175,             0.00175,             0.00175
                  27,            0.049501,            0.019641,           0.0045731,             0.61828,               0.875,             0.83875,             0.54831,            0.013444,           0.0061598,           0.0010178,             0.00142,             0.00142,             0.00142
                  28,            0.042224,            0.017554,           0.0033819,             0.78405,             0.72799,             0.82132,             0.54568,            0.012966,           0.0060623,          0.00099182,             0.00109,             0.00109,             0.00109
                  29,            0.033867,            0.016391,           0.0026256,             0.95064,             0.73693,             0.89143,             0.57884,            0.012472,           0.0060234,          0.00097046,             0.00076,             0.00076,             0.00076
