               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.043857,            0.014297,           0.0021903,             0.74559,               0.875,             0.92208,             0.60585,            0.013036,           0.0041231,          0.00059242,            0.004225,            0.004225,            0.004225
                  37,            0.045753,             0.01543,           0.0023236,             0.78701,               0.875,               0.895,             0.51398,            0.013456,           0.0041078,          0.00058174,             0.00406,             0.00406,             0.00406
                  38,             0.05591,            0.014879,           0.0033819,             0.88296,               0.875,                0.97,             0.62694,            0.012683,           0.0039644,          0.00062256,            0.003895,            0.003895,            0.003895
                  39,            0.036923,            0.016599,           0.0022414,             0.99805,             0.74148,             0.91167,             0.58084,            0.013046,             0.00412,          0.00063095,             0.00373,             0.00373,             0.00373
                  40,            0.052535,            0.016544,            0.002471,             0.82193,                   1,                0.97,             0.59662,            0.012664,           0.0041324,           0.0006588,            0.003565,            0.003565,            0.003565
                  41,            0.041797,            0.013885,           0.0031584,             0.59783,                   1,              0.8075,             0.50762,            0.014067,           0.0039876,          0.00061798,              0.0034,              0.0034,              0.0034
                  42,            0.047535,            0.013851,           0.0020603,             0.84896,                   1,                0.97,             0.57984,            0.013085,           0.0040296,           0.0006237,            0.003235,            0.003235,            0.003235
                  43,            0.035329,            0.015182,           0.0020431,             0.75506,             0.96029,             0.89083,             0.61915,            0.011436,           0.0041268,          0.00062218,             0.00307,             0.00307,             0.00307
                  44,            0.043339,            0.013812,           0.0022601,             0.85741,                   1,                0.97,             0.60912,            0.012938,           0.0040157,          0.00060616,            0.002905,            0.002905,            0.002905
                  45,            0.033742,            0.013791,            0.003444,             0.74847,             0.91211,                0.97,             0.62589,            0.011948,           0.0039716,           0.0005764,             0.00274,             0.00274,             0.00274
                  46,            0.045938,            0.015028,           0.0025531,             0.85791,                   1,                0.97,             0.67813,             0.01199,             0.00394,          0.00057297,            0.002575,            0.002575,            0.002575
                  47,            0.044395,            0.015182,           0.0033166,              0.8458,                   1,               0.995,             0.62135,            0.010309,            0.004097,          0.00056572,             0.00241,             0.00241,             0.00241
                  48,            0.037453,            0.014127,           0.0023464,             0.93468,                   1,               0.995,             0.65828,            0.012314,           0.0038803,          0.00055542,            0.002245,            0.002245,            0.002245
                  49,            0.037393,            0.015342,           0.0021178,             0.84074,                   1,                0.92,             0.56421,            0.010608,           0.0039272,          0.00053368,             0.00208,             0.00208,             0.00208
                  50,            0.034085,            0.013982,           0.0022299,             0.89785,                   1,               0.995,             0.66806,            0.010729,           0.0037875,          0.00052834,            0.001915,            0.001915,            0.001915
                  51,            0.034681,            0.015725,           0.0019682,             0.88043,                   1,               0.995,             0.68993,           0.0088167,           0.0039256,          0.00050964,             0.00175,             0.00175,             0.00175
                  52,            0.034584,             0.01457,           0.0018403,             0.92376,                   1,               0.995,              0.6163,            0.010144,           0.0039115,          0.00050545,            0.001585,            0.001585,            0.001585
                  53,            0.036587,            0.016376,            0.002078,             0.88653,                   1,               0.995,              0.7069,           0.0083192,           0.0038975,          0.00049248,             0.00142,             0.00142,             0.00142
                  54,            0.034077,            0.015585,           0.0018556,             0.95727,                   1,               0.995,             0.66273,           0.0095464,           0.0038131,          0.00047646,            0.001255,            0.001255,            0.001255
                  55,            0.032913,            0.016602,           0.0017983,             0.89477,                   1,               0.995,             0.69713,           0.0078264,           0.0039002,           0.0004612,             0.00109,             0.00109,             0.00109
                  56,            0.028926,            0.012937,           0.0018611,             0.96275,                   1,               0.995,             0.72699,           0.0083102,           0.0037757,          0.00044899,            0.000925,            0.000925,            0.000925
                  57,            0.035739,            0.014014,            0.003262,             0.93553,             0.98955,               0.995,             0.71882,           0.0078179,           0.0037848,          0.00043869,             0.00076,             0.00076,             0.00076
                  58,            0.036063,            0.013701,           0.0019384,             0.96105,                   1,               0.995,              0.7166,           0.0080988,           0.0037447,          0.00043221,            0.000595,            0.000595,            0.000595
                  59,            0.028157,            0.012808,           0.0014296,             0.95362,                   1,               0.995,             0.73328,             0.00806,           0.0037136,          0.00042839,             0.00043,             0.00043,             0.00043
